nome,partido,uf,PDC 141/1991,PDC 82/1991,PEC 51/1990,PEC 51/1990,PEC 51/1990,PEC 51/1990,PEC 51/1990,PEC 51/1990,PEC 51/1990,PEC 51/1990,PEC 51/1990,PEC 61/1990,PEC 61/1990,PEC 82/1991,PEC 82/1991,PEC 82/1991,PL 1258/1988,PL 1258/1988,PL 1258/1988,PL 1991/1991,PL 202/1991,PL 202/1991,PL 202/1991,PL 2145/1991,PL 2592/1992,PL 2592/1992,PL 2747/1992,PL 2747/1992,PL 2747/1992,PL 2747/1992,PL 2920/1992,PL 2990/1992,PL 2990/1992,PL 3031/1992,PL 3387/1992,PL 3399/1992,PL 4573/1990,PL 4573/1990,PL 5051/1990,PL 8/1991,PRC 93/1992,PRC 93/1992
Jorge Khoury,PFL,BA,0,1,1,1,1,1,1,0,0,1,-1,0,0,0,1,1,0,0,0,1,0,1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,0,-1,0,0,0,1,1
Luiz Moreira,PFL,BA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Aécio Neves,PSDB,MG,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,1,0,1,-1,-1,-1,1,1,0,0,0,0,0,1,1,0,0,0,1
Nilmário Miranda,PT,MG,0,0,-1,1,-1,0,0,0,0,1,-1,1,1,0,1,0,1,0,0,0,0,0,-1,0,-1,0,0,0,0,1,0,-1,0,0,0,1,0,0,-1,0,-1,0
Tilden Santiago,PT,MG,0,0,-1,1,-1,0,1,-1,0,1,0,1,1,0,1,1,1,0,0,-1,0,0,0,1,0,-1,-1,-1,-1,1,1,-1,0,0,0,1,1,0,-1,0,-1,-1
Rita Camata,PMDB,ES,-1,1,1,1,1,1,1,0,0,1,-1,1,1,0,-1,1,0,0,0,1,1,0,1,1,1,0,-1,-1,-1,1,1,-1,-1,1,0,0,1,0,0,0,1,0
Aldir Cabral,PFL,RJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Arolde de Oliveira,PFL,RJ,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,-1,0,1,1,1,1,-1,1,1,1,1,0,0,-1,0,1,0,0,0
Miro Teixeira,PDT,RJ,0,0,0,1,0,0,-1,-1,0,-1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,-1,1,0,0,1,1,0,0,0,1,1
Rubem Medina,PFL,RJ,0,1,1,1,0,1,1,0,0,1,-1,0,1,0,1,1,0,0,0,1,0,0,0,-1,1,1,1,1,1,-1,1,1,0,0,0,0,-1,0,1,0,0,0
Jorge Tadeu Mudalen,PMDB,SP,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,1,1,-1,-1,0,1,1,1,0,1,0,0,1,0,1,0,0,0
José Genoíno,PT,SP,0,0,-1,1,-1,0,1,-1,0,1,-1,1,1,1,1,1,0,1,0,-1,0,0,-1,1,-1,0,-1,-1,-1,1,1,-1,-1,0,0,1,1,0,-1,0,-1,-1
Marcelo Barbieri,PMDB,SP,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,-1,-1,-1,1,1,1,1,1,0,0,1,0,1,0,1,1
Luciano Pizzatto,PFL,PR,0,0,0,1,0,0,1,0,0,1,-1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,-1,0,0,0,0,0,0,-1,0,1,0,1,1
