nome,partido,uf,PDC 383/1993,PDC 413/1994,PL 171/1987,PL 3712/1993,PL 4005/1993,PL 4151/1993,PL 4218/1993,PL 4218/1993,PL 4223/1993,PL 4386/1994,PL 4393/1994,PL 4518/1994,PL 4672/1994,PL 4851/1994,PL 4881/1994,PL 68/1991
Tuga Angerami,PSDB,SP,-1,1,1,-1,-1,1,1,1,-1,-1,1,1,1,-1,-1,1
Carlos Nelson,PMDB,SP,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
Rodrigues Palma,PTB,MT,1,1,0,-1,1,-1,1,1,-1,1,1,0,0,1,1,0
Chico Vigilante,PT,DF,0,1,0,-1,0,0,1,0,-1,0,-1,1,-1,0,0,0
Maria Laura,PT,DF,0,0,0,-1,-1,0,0,0,-1,0,-1,1,0,0,0,0
Antonio Ueno,PFL,PR,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
Neuto de Conto,PMDB,SC,1,0,-1,0,0,0,0,1,-1,0,1,-1,0,0,1,1
Odacir Klein,PMDB,RS,1,1,-1,-1,1,1,1,1,0,1,0,-1,1,1,1,1
Haroldo Sabóia,PT,MA,-1,0,1,-1,0,0,0,0,-1,0,0,1,0,0,0,0
Dércio Knop,PDT,SC,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
Virmondes Cruvinel,PMDB,GO,1,1,-1,0,1,0,1,1,-1,1,1,0,1,0,1,1
João Thomé,PMDB,AM,1,0,-1,0,1,1,1,1,-1,0,1,0,1,1,1,1
Francisco Rodrigues,PTB,RR,0,0,-1,0,0,0,0,0,0,0,1,0,1,0,0,0
Murilo Pinheiro,PFL,AP,1,1,0,-1,1,-1,0,0,-1,1,1,1,1,0,0,0
Antônio Faleiros,PSDB,GO,-1,1,0,-1,0,1,1,1,0,0,0,0,1,-1,1,0
Nelson Proença,PMDB,RS,1,0,-1,-1,0,0,0,0,0,0,0,-1,0,0,0,0
José Egydio,PL,RJ,1,0,-1,-1,0,0,0,1,0,0,0,0,0,0,0,0
Hélio Rosas,PMDB,SP,0,1,0,1,0,0,0,0,0,0,0,-1,0,1,1,0
Mario Martins,PMDB,PA,0,0,0,-1,0,0,0,1,0,0,0,-1,0,1,0,0
Neif Jabur,PMDB,MG,0,1,-1,-1,0,0,1,1,0,0,0,0,1,0,0,1
Fernando Lyra,PSB,PE,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Benito Gama,PFL,BA,1,0,0,-1,-1,0,0,1,0,0,0,-1,0,1,1,1
Jairo Azi,PFL,BA,0,0,-1,0,0,-1,0,1,0,0,1,-1,1,0,0,0
Fernando Lopes,PDT,RJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
Carlos Cardinal,PDT,RS,1,-1,0,0,0,1,0,1,-1,0,0,1,0,0,1,0
Adroaldo Streck,PSDB,RS,0,1,1,-1,-1,1,0,1,1,0,1,-1,0,-1,0,-1
Valdir Ganzer,PT,PA,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,1
Ricardo Fiuza,PFL,PE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Alacid Nunes,PFL,PA,1,1,-1,0,-1,-1,1,1,1,1,1,-1,1,1,1,0
Carlos Kayath,PTB,PA,1,0,-1,0,0,0,1,1,0,0,0,1,0,0,-1,-1
Paulo Titan,PMDB,PA,0,1,-1,-1,1,0,1,0,-1,0,0,-1,-1,1,0,1
Beth Azize,PDT,AM,1,0,1,1,0,0,1,0,0,0,0,-1,0,0,0,1
Euler Ribeiro,PMDB,AM,0,0,0,0,1,0,1,0,-1,1,0,0,0,1,0,0
José Dutra,PMDB,AM,0,1,-1,-1,1,0,1,0,-1,0,1,0,1,1,1,1
Maurício Calixto,PFL,RO,-1,1,0,-1,0,-1,0,1,0,0,1,1,1,0,1,1
Ronivon Santiago,PPR,AC,1,0,-1,-1,0,0,0,0,-1,0,0,0,1,1,0,1
José Carlos Saboia,PSB,MA,0,1,1,-1,0,0,0,0,0,0,0,-1,1,-1,0,0
Antonio dos Santos,PFL,CE,0,0,0,0,0,0,1,1,-1,0,0,0,0,1,0,0
Edson Silva,PDT,CE,0,0,1,-1,1,0,1,0,-1,0,1,0,0,0,1,1
Jackson Pereira,PSDB,CE,-1,1,0,0,-1,1,1,1,-1,-1,1,0,0,0,1,1
Marco Penaforte,PSDB,CE,-1,1,0,-1,-1,0,1,1,1,0,1,1,0,-1,0,1
Murilo Rezende,PMDB,PI,1,1,-1,-1,1,0,1,1,-1,0,1,-1,1,1,1,1
Aluizio Alves,PMDB,RN,1,0,0,0,1,0,1,1,-1,0,0,0,0,0,0,0
Vital do Rego,PDT,PB,1,1,1,0,1,0,1,1,-1,0,0,1,1,0,0,0
Rivaldo Medeiros,PFL,PB,0,0,0,-1,0,0,0,1,0,1,1,0,0,0,1,0
Luiz Piauhylino,PSB,PE,-1,1,0,0,-1,0,-1,1,-1,0,-1,-1,1,1,1,1
Maviael Cavalcanti,PFL,PE,1,0,0,-1,0,0,0,1,0,0,0,0,0,0,1,0
Nilson Gibson,PMDB,PE,1,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,1
Roberto França,PSB,PE,-1,1,1,-1,-1,0,0,1,-1,0,1,-1,1,1,0,1
Roberto Torres,PTB,AL,1,0,0,-1,1,-1,0,1,-1,1,1,0,1,1,0,0
Ângelo Magalhães,PFL,BA,1,0,0,-1,0,0,1,1,0,0,1,-1,1,0,0,1
Genebaldo Correia,PMDB,BA,0,0,0,0,0,0,1,0,-1,0,1,0,0,0,0,0
Jabes Ribeiro,PSDB,BA,0,1,1,-1,1,0,1,1,-1,1,-1,0,0,1,0,0
João Almeida,PMDB,BA,1,1,-1,-1,0,0,1,1,1,1,0,-1,1,1,0,1
José Falcão,PFL,BA,1,1,-1,-1,-1,0,1,0,-1,1,0,-1,1,0,1,0
Ribeiro Tavares,PL,BA,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,1,-1
Luís Eduardo,PFL,BA,-1,1,-1,-1,-1,0,0,1,1,0,1,-1,0,1,1,1
Nestor Duarte,PMDB,BA,1,0,-1,0,1,0,1,-1,0,1,1,0,0,1,0,1
Uldurico Pinto,PSB,BA,-1,0,1,-1,0,0,1,1,-1,0,-1,0,0,0,0,1
Agostinho Valente,PT,MG,-1,1,1,-1,0,1,1,1,0,-1,-1,1,0,0,0,0
Armando Costa,PMDB,MG,1,1,0,0,1,0,0,1,-1,1,1,-1,0,1,1,0
Edmar Moreira,PP,MG,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
